id,agemonths,ageyears,age,agecat,sex,condition,condition2,boxtype,trialno,sound,correct
15,77.06578947,6.422149123,6,six,f,causal,1,metal,1,woo,0
15,77.06578947,6.422149123,6,six,f,causal,1,metal,2,met,0
15,77.06578947,6.422149123,6,six,f,causal,1,metal,3,woo,0
15,77.06578947,6.422149123,6,six,f,causal,1,metal,4,met,0
15,77.06578947,6.422149123,6,six,f,causal,1,metal,5,woo,0
15,77.06578947,6.422149123,6,six,f,causal,1,metal,6,met,0
15,77.06578947,6.422149123,6,six,f,causal,1,metal,7,met,0
15,77.06578947,6.422149123,6,six,f,causal,1,metal,8,woo,1
15,77.06578947,6.422149123,6,six,f,causal,1,metal,9,woo,1
15,77.06578947,6.422149123,6,six,f,causal,1,metal,10,met,1
15,77.06578947,6.422149123,6,six,f,causal,1,metal,11,woo,1
15,77.06578947,6.422149123,6,six,f,causal,1,metal,12,met,1
15,77.06578947,6.422149123,6,six,f,causal,1,metal,13,woo,1
15,77.06578947,6.422149123,6,six,f,causal,1,metal,14,met,0
15,77.06578947,6.422149123,6,six,f,causal,1,metal,15,woo,0
15,77.06578947,6.422149123,6,six,f,causal,1,metal,16,met,0
15,77.06578947,6.422149123,6,six,f,causal,1,metal,17,woo,1
15,77.06578947,6.422149123,6,six,f,causal,1,metal,18,met,1
15,77.06578947,6.422149123,6,six,f,causal,1,metal,19,woo,0
15,77.06578947,6.422149123,6,six,f,causal,1,metal,20,met,0
17,58.52631579,4.877192982,4,four,f,causal,1,wood,1,met,0
17,58.52631579,4.877192982,4,four,f,causal,1,wood,2,woo,1
17,58.52631579,4.877192982,4,four,f,causal,1,wood,3,met,1
17,58.52631579,4.877192982,4,four,f,causal,1,wood,4,met,0
17,58.52631579,4.877192982,4,four,f,causal,1,wood,5,woo,0
17,58.52631579,4.877192982,4,four,f,causal,1,wood,6,met,1
17,58.52631579,4.877192982,4,four,f,causal,1,wood,7,woo,1
17,58.52631579,4.877192982,4,four,f,causal,1,wood,8,met,0
17,58.52631579,4.877192982,4,four,f,causal,1,wood,9,woo,1
17,58.52631579,4.877192982,4,four,f,causal,1,wood,10,woo,1
17,58.52631579,4.877192982,4,four,f,causal,1,wood,11,met,1
17,58.52631579,4.877192982,4,four,f,causal,1,wood,12,woo,1
17,58.52631579,4.877192982,4,four,f,causal,1,wood,13,woo,1
17,58.52631579,4.877192982,4,four,f,causal,1,wood,14,met,0
17,58.52631579,4.877192982,4,four,f,causal,1,wood,15,woo,0
17,58.52631579,4.877192982,4,four,f,causal,1,wood,16,met,1
17,58.52631579,4.877192982,4,four,f,causal,1,wood,17,met,0
17,58.52631579,4.877192982,4,four,f,causal,1,wood,18,woo,0
17,58.52631579,4.877192982,4,four,f,causal,1,wood,19,met,NA
17,58.52631579,4.877192982,4,four,f,causal,1,wood,20,woo,NA
20,46.46052632,3.871710526,3,three,f,causal,1,wood,1,met,0
20,46.46052632,3.871710526,3,three,f,causal,1,wood,2,woo,0
20,46.46052632,3.871710526,3,three,f,causal,1,wood,3,woo,1
20,46.46052632,3.871710526,3,three,f,causal,1,wood,4,met,1
20,46.46052632,3.871710526,3,three,f,causal,1,wood,5,woo,0
20,46.46052632,3.871710526,3,three,f,causal,1,wood,6,met,0
20,46.46052632,3.871710526,3,three,f,causal,1,wood,7,woo,1
20,46.46052632,3.871710526,3,three,f,causal,1,wood,8,met,0
20,46.46052632,3.871710526,3,three,f,causal,1,wood,9,met,0
20,46.46052632,3.871710526,3,three,f,causal,1,wood,10,woo,0
20,46.46052632,3.871710526,3,three,f,causal,1,wood,11,woo,0
20,46.46052632,3.871710526,3,three,f,causal,1,wood,12,met,1
20,46.46052632,3.871710526,3,three,f,causal,1,wood,13,met,0
20,46.46052632,3.871710526,3,three,f,causal,1,wood,14,woo,0
20,46.46052632,3.871710526,3,three,f,causal,1,wood,15,woo,1
20,46.46052632,3.871710526,3,three,f,causal,1,wood,16,met,0
20,46.46052632,3.871710526,3,three,f,causal,1,wood,17,woo,1
20,46.46052632,3.871710526,3,three,f,causal,1,wood,18,woo,1
20,46.46052632,3.871710526,3,three,f,causal,1,wood,19,met,0
20,46.46052632,3.871710526,3,three,f,causal,1,wood,20,met,0
21,71.29605263,5.941337719,5,five,f,causal,1,wood,1,met,0
21,71.29605263,5.941337719,5,five,f,causal,1,wood,2,woo,1
21,71.29605263,5.941337719,5,five,f,causal,1,wood,3,woo,1
21,71.29605263,5.941337719,5,five,f,causal,1,wood,4,met,1
21,71.29605263,5.941337719,5,five,f,causal,1,wood,5,woo,0
21,71.29605263,5.941337719,5,five,f,causal,1,wood,6,woo,0
21,71.29605263,5.941337719,5,five,f,causal,1,wood,7,met,0
21,71.29605263,5.941337719,5,five,f,causal,1,wood,8,met,0
21,71.29605263,5.941337719,5,five,f,causal,1,wood,9,woo,0
21,71.29605263,5.941337719,5,five,f,causal,1,wood,10,met,0
21,71.29605263,5.941337719,5,five,f,causal,1,wood,11,woo,1
21,71.29605263,5.941337719,5,five,f,causal,1,wood,12,woo,1
21,71.29605263,5.941337719,5,five,f,causal,1,wood,13,met,1
21,71.29605263,5.941337719,5,five,f,causal,1,wood,14,met,1
21,71.29605263,5.941337719,5,five,f,causal,1,wood,15,woo,0
21,71.29605263,5.941337719,5,five,f,causal,1,wood,16,met,1
21,71.29605263,5.941337719,5,five,f,causal,1,wood,17,woo,0
21,71.29605263,5.941337719,5,five,f,causal,1,wood,18,met,0
21,71.29605263,5.941337719,5,five,f,causal,1,wood,19,woo,1
21,71.29605263,5.941337719,5,five,f,causal,1,wood,20,met,1
22,42.70394737,3.558662281,3,three,m,causal,1,metal,1,woo,0
22,42.70394737,3.558662281,3,three,m,causal,1,metal,2,met,1
22,42.70394737,3.558662281,3,three,m,causal,1,metal,3,woo,1
22,42.70394737,3.558662281,3,three,m,causal,1,metal,4,met,1
22,42.70394737,3.558662281,3,three,m,causal,1,metal,5,woo,0
22,42.70394737,3.558662281,3,three,m,causal,1,metal,6,met,1
22,42.70394737,3.558662281,3,three,m,causal,1,metal,7,met,1
22,42.70394737,3.558662281,3,three,m,causal,1,metal,8,woo,1
22,42.70394737,3.558662281,3,three,m,causal,1,metal,9,woo,0
22,42.70394737,3.558662281,3,three,m,causal,1,metal,10,met,1
22,42.70394737,3.558662281,3,three,m,causal,1,metal,11,woo,0
22,42.70394737,3.558662281,3,three,m,causal,1,metal,12,met,1
22,42.70394737,3.558662281,3,three,m,causal,1,metal,13,woo,0
22,42.70394737,3.558662281,3,three,m,causal,1,metal,14,met,1
22,42.70394737,3.558662281,3,three,m,causal,1,metal,15,woo,1
22,42.70394737,3.558662281,3,three,m,causal,1,metal,16,met,1
22,42.70394737,3.558662281,3,three,m,causal,1,metal,17,woo,0
22,42.70394737,3.558662281,3,three,m,causal,1,metal,18,met,0
22,42.70394737,3.558662281,3,three,m,causal,1,metal,19,woo,1
22,42.70394737,3.558662281,3,three,m,causal,1,metal,20,met,1
23,40.93421053,3.411184211,3,three,m,causal,1,metal,1,woo,0
23,40.93421053,3.411184211,3,three,m,causal,1,metal,2,met,1
23,40.93421053,3.411184211,3,three,m,causal,1,metal,3,met,1
23,40.93421053,3.411184211,3,three,m,causal,1,metal,4,woo,0
23,40.93421053,3.411184211,3,three,m,causal,1,metal,5,met,1
23,40.93421053,3.411184211,3,three,m,causal,1,metal,6,woo,0
23,40.93421053,3.411184211,3,three,m,causal,1,metal,7,met,1
23,40.93421053,3.411184211,3,three,m,causal,1,metal,8,woo,0
23,40.93421053,3.411184211,3,three,m,causal,1,metal,9,woo,0
23,40.93421053,3.411184211,3,three,m,causal,1,metal,10,met,1
23,40.93421053,3.411184211,3,three,m,causal,1,metal,11,met,1
23,40.93421053,3.411184211,3,three,m,causal,1,metal,12,woo,1
23,40.93421053,3.411184211,3,three,m,causal,1,metal,13,woo,1
23,40.93421053,3.411184211,3,three,m,causal,1,metal,14,met,1
23,40.93421053,3.411184211,3,three,m,causal,1,metal,15,met,0
23,40.93421053,3.411184211,3,three,m,causal,1,metal,16,woo,1
23,40.93421053,3.411184211,3,three,m,causal,1,metal,17,met,1
23,40.93421053,3.411184211,3,three,m,causal,1,metal,18,met,1
23,40.93421053,3.411184211,3,three,m,causal,1,metal,19,woo,1
23,40.93421053,3.411184211,3,three,m,causal,1,metal,20,woo,0
24,60.625,5.052083333,5,five,m,causal,1,wood,1,met,0
24,60.625,5.052083333,5,five,m,causal,1,wood,2,woo,0
24,60.625,5.052083333,5,five,m,causal,1,wood,3,met,1
24,60.625,5.052083333,5,five,m,causal,1,wood,4,met,1
24,60.625,5.052083333,5,five,m,causal,1,wood,5,woo,0
24,60.625,5.052083333,5,five,m,causal,1,wood,6,met,1
24,60.625,5.052083333,5,five,m,causal,1,wood,7,woo,0
24,60.625,5.052083333,5,five,m,causal,1,wood,8,met,1
24,60.625,5.052083333,5,five,m,causal,1,wood,9,woo,0
24,60.625,5.052083333,5,five,m,causal,1,wood,10,woo,0
24,60.625,5.052083333,5,five,m,causal,1,wood,11,met,1
24,60.625,5.052083333,5,five,m,causal,1,wood,12,woo,0
24,60.625,5.052083333,5,five,m,causal,1,wood,13,woo,0
24,60.625,5.052083333,5,five,m,causal,1,wood,14,met,0
24,60.625,5.052083333,5,five,m,causal,1,wood,15,woo,0
24,60.625,5.052083333,5,five,m,causal,1,wood,16,met,1
24,60.625,5.052083333,5,five,m,causal,1,wood,17,met,1
24,60.625,5.052083333,5,five,m,causal,1,wood,18,woo,0
24,60.625,5.052083333,5,five,m,causal,1,wood,19,met,1
24,60.625,5.052083333,5,five,m,causal,1,wood,20,woo,0
25,48.03289474,4.002741228,4,four,m,causal,1,wood,1,met,1
25,48.03289474,4.002741228,4,four,m,causal,1,wood,2,woo,0
25,48.03289474,4.002741228,4,four,m,causal,1,wood,3,met,0
25,48.03289474,4.002741228,4,four,m,causal,1,wood,4,woo,0
25,48.03289474,4.002741228,4,four,m,causal,1,wood,5,met,0
25,48.03289474,4.002741228,4,four,m,causal,1,wood,6,woo,0
25,48.03289474,4.002741228,4,four,m,causal,1,wood,7,met,0
25,48.03289474,4.002741228,4,four,m,causal,1,wood,8,woo,1
25,48.03289474,4.002741228,4,four,m,causal,1,wood,9,met,0
25,48.03289474,4.002741228,4,four,m,causal,1,wood,10,woo,1
25,48.03289474,4.002741228,4,four,m,causal,1,wood,11,met,1
25,48.03289474,4.002741228,4,four,m,causal,1,wood,12,woo,1
25,48.03289474,4.002741228,4,four,m,causal,1,wood,13,met,0
25,48.03289474,4.002741228,4,four,m,causal,1,wood,14,woo,1
25,48.03289474,4.002741228,4,four,m,causal,1,wood,15,met,1
25,48.03289474,4.002741228,4,four,m,causal,1,wood,16,woo,1
25,48.03289474,4.002741228,4,four,m,causal,1,wood,17,met,1
25,48.03289474,4.002741228,4,four,m,causal,1,wood,18,woo,1
25,48.03289474,4.002741228,4,four,m,causal,1,wood,19,met,0
25,48.03289474,4.002741228,4,four,m,causal,1,wood,20,woo,1
32,57.96710526,4.830592105,4,four,m,causal,1,wood,1,met,0
32,57.96710526,4.830592105,4,four,m,causal,1,wood,2,woo,1
32,57.96710526,4.830592105,4,four,m,causal,1,wood,3,met,1
32,57.96710526,4.830592105,4,four,m,causal,1,wood,4,woo,1
32,57.96710526,4.830592105,4,four,m,causal,1,wood,5,met,0
32,57.96710526,4.830592105,4,four,m,causal,1,wood,6,woo,1
32,57.96710526,4.830592105,4,four,m,causal,1,wood,7,met,1
32,57.96710526,4.830592105,4,four,m,causal,1,wood,8,woo,1
32,57.96710526,4.830592105,4,four,m,causal,1,wood,9,met,1
32,57.96710526,4.830592105,4,four,m,causal,1,wood,10,woo,1
32,57.96710526,4.830592105,4,four,m,causal,1,wood,11,met,1
32,57.96710526,4.830592105,4,four,m,causal,1,wood,12,woo,1
32,57.96710526,4.830592105,4,four,m,causal,1,wood,13,met,0
32,57.96710526,4.830592105,4,four,m,causal,1,wood,14,woo,1
32,57.96710526,4.830592105,4,four,m,causal,1,wood,15,met,1
32,57.96710526,4.830592105,4,four,m,causal,1,wood,16,woo,1
32,57.96710526,4.830592105,4,four,m,causal,1,wood,17,met,0
32,57.96710526,4.830592105,4,four,m,causal,1,wood,18,woo,1
32,57.96710526,4.830592105,4,four,m,causal,1,wood,19,met,0
32,57.96710526,4.830592105,4,four,m,causal,1,wood,20,woo,0
33,53.19736842,4.433114035,4,four,m,causal,1,wood,1,met,0
33,53.19736842,4.433114035,4,four,m,causal,1,wood,2,woo,0
33,53.19736842,4.433114035,4,four,m,causal,1,wood,3,woo,1
33,53.19736842,4.433114035,4,four,m,causal,1,wood,4,met,1
33,53.19736842,4.433114035,4,four,m,causal,1,wood,5,woo,1
33,53.19736842,4.433114035,4,four,m,causal,1,wood,6,met,1
33,53.19736842,4.433114035,4,four,m,causal,1,wood,7,woo,1
33,53.19736842,4.433114035,4,four,m,causal,1,wood,8,met,1
33,53.19736842,4.433114035,4,four,m,causal,1,wood,9,met,0
33,53.19736842,4.433114035,4,four,m,causal,1,wood,10,woo,0
33,53.19736842,4.433114035,4,four,m,causal,1,wood,11,woo,0
33,53.19736842,4.433114035,4,four,m,causal,1,wood,12,met,0
33,53.19736842,4.433114035,4,four,m,causal,1,wood,13,met,0
33,53.19736842,4.433114035,4,four,m,causal,1,wood,14,woo,0
33,53.19736842,4.433114035,4,four,m,causal,1,wood,15,woo,1
33,53.19736842,4.433114035,4,four,m,causal,1,wood,16,met,0
33,53.19736842,4.433114035,4,four,m,causal,1,wood,17,woo,1
33,53.19736842,4.433114035,4,four,m,causal,1,wood,18,woo,1
