id,agemonths,ageyears,age,agecat,sex,boxtype,trialno,sound,side,response,correct,explanation
217,60.36184211,5.030153509,5,five,f,wood,1,Met,L,R,0,3
217,60.36184211,5.030153509,5,five,f,wood,2,Woo,R,R,1,3
217,60.36184211,5.030153509,5,five,f,wood,3,Woo,R,L,0,3
217,60.36184211,5.030153509,5,five,f,wood,4,Met,L,R,0,3
217,60.36184211,5.030153509,5,five,f,wood,5,Woo,R,L,0,3
217,60.36184211,5.030153509,5,five,f,wood,6,Met,L,L,1,3
217,60.36184211,5.030153509,5,five,f,wood,7,Woo,R,R,1,3
217,60.36184211,5.030153509,5,five,f,wood,8,Met,L,L,1,3
217,60.36184211,5.030153509,5,five,f,wood,9,Met,L,L,1,3
217,60.36184211,5.030153509,5,five,f,wood,10,Woo,R,R,1,3
218,61.03289474,5.086074561,5,five,m,wood,1,Met,L,L,1,2
218,61.03289474,5.086074561,5,five,m,wood,2,Woo,R,R,1,2
218,61.03289474,5.086074561,5,five,m,wood,3,Met,L,L,1,2
218,61.03289474,5.086074561,5,five,m,wood,4,Woo,R,R,1,2
218,61.03289474,5.086074561,5,five,m,wood,5,Met,L,L,1,2
218,61.03289474,5.086074561,5,five,m,wood,6,Woo,R,R,1,2
218,61.03289474,5.086074561,5,five,m,wood,7,Woo,R,L,0,2
218,61.03289474,5.086074561,5,five,m,wood,8,Met,L,L,1,2
218,61.03289474,5.086074561,5,five,m,wood,9,Met,L,R,0,2
218,61.03289474,5.086074561,5,five,m,wood,10,woo,R,L,0,2
219,44.49342105,3.707785088,3,three,f,wood,1,Met,L,R,0,1
219,44.49342105,3.707785088,3,three,f,wood,2,Woo,R,R,1,1
219,44.49342105,3.707785088,3,three,f,wood,3,Woo,R,R,1,1
219,44.49342105,3.707785088,3,three,f,wood,4,Met,L,R,0,1
219,44.49342105,3.707785088,3,three,f,wood,5,Woo,R,R,1,1
219,44.49342105,3.707785088,3,three,f,wood,6,Woo,R,R,1,1
219,44.49342105,3.707785088,3,three,f,wood,7,Met,L,L,1,1
219,44.49342105,3.707785088,3,three,f,wood,8,Met,L,R,0,1
219,44.49342105,3.707785088,3,three,f,wood,9,Woo,R,L,0,1
219,44.49342105,3.707785088,3,three,f,wood,10,Met,L,R,0,1
220,51.69078947,4.307565789,4,four,f,wood,1,Met,L,L,1,1
220,51.69078947,4.307565789,4,four,f,wood,2,Woo,R,R,1,1
220,51.69078947,4.307565789,4,four,f,wood,3,Met,L,L,1,1
